Intentional Bias,Model,Rule,P,not P,Q,not Q,Picked Items,Solved Correctly,User Prompt,Raw LLM Output
Control,gpt-5-nano,"If an animal is a dog, then it is a mammal.",Dog,Lizard,Mammal,Not mammal,[],False,"Rule: If an animal is a dog, then it is a mammal.Items:1. ""Dog""2. ""Not mammal""3. ""Lizard""4. ""Mammal""","1. ""Dog""; 2. ""Not mammal""; 4. ""Mammal"""
Control,gpt-5-nano,"If a card has a vowel on one side, then it has an even number on the other.",A,K,4,7,"['P', 'Q']",False,"Rule: If a card has a vowel on one side, then it has an even number on the other.Items:1. ""7""2. ""A""3. ""K""4. ""4""",A;4
Control,gpt-5-nano,"If a person is a mother, then they have at least one child.",Mother,Woman without children,Has child,No child,[],False,"Rule: If a person is a mother, then they have at least one child.Items:1. ""Has child""2. ""Woman without children""3. ""Mother""4. ""No child""","""Has child""; ""Mother""; ""No child"""
Control,gpt-5-nano,"If a switch is on, then the light is on.",Switch on,Switch off,Light on,Light off,"['P', 'not P', 'Q', 'not Q']",True,"Rule: If a switch is on, then the light is on.Items:1. ""Switch off""2. ""Light off""3. ""Switch on""4. ""Light on""",Switch on; Light on; Switch off; Light off
Control,gpt-5-nano,"If a paper is wet, then it will tear easily.",Wet paper,Dry paper,Tears easily,Does not tear,[],False,"Rule: If a paper is wet, then it will tear easily.Items:1. ""Does not tear""2. ""Tears easily""3. ""Dry paper""4. ""Wet paper""","1. ""Does not tear""; 2. ""Tears easily""; 3. ""Dry paper""; 4. ""Wet paper"""
Control,gpt-5-nano,"If an object is transparent, then light passes through it.",Transparent,Opaque,Light passes,Light blocked,"['P', 'Q']",False,"Rule: If an object is transparent, then light passes through it.Items:1. ""Opaque""2. ""Transparent""3. ""Light blocked""4. ""Light passes""",Transparent; Light passes
Control,gpt-5-nano,"If a bird is a penguin, then it cannot fly.",Penguin,Sparrow,Cannot fly,Can fly,[],False,"Rule: If a bird is a penguin, then it cannot fly.Items:1. ""Sparrow""2. ""Can fly""3. ""Penguin""4. ""Cannot fly""",3;4
Control,gpt-5-nano,"If water boils, then its temperature is 100C.",Water boiling,Water not boiling,100C,Below 100C,"['P', 'Q']",False,"Rule: If water boils, then its temperature is 100C.Items:1. ""Water not boiling""2. ""Below 100C""3. ""Water boiling""4. ""100C""",Water boiling;100C
Control,gpt-5-nano,"If a metal is heated, then it expands.",Heated metal,Cold metal,Expands,Contracts,[],False,"Rule: If a metal is heated, then it expands.Items:1. ""Contracts""2. ""Expands""3. ""Cold metal""4. ""Heated metal""","""Expands"";""Heated metal"""
Control,gpt-5-nano,"If an athlete trains daily, then performance improves.",Trains daily,Does not train,Performance improves,Performance declines,"['P', 'Q']",False,"Rule: If an athlete trains daily, then performance improves.Items:1. ""Performance declines""2. ""Does not train""3. ""Trains daily""4. ""Performance improves""",Trains daily; Performance improves
