Model,Rule,P,not P,Q,not Q,Picked Items,Solved Correctly,User Prompt,Raw LLM Output
llama2-uncensored:7b,"If an animal is a dog, then it is a mammal.",Dog,Lizard,Mammal,Not mammal,[],False,"Rule: If an animal is a dog, then it is a mammal.Items:1. ""Lizard""2. ""Mammal""3. ""Not mammal""4. ""Dog""",Items 2 and 3
llama2-uncensored:7b,"If a card has a vowel on one side, then it has an even number on the other.",A,K,4,7,['Q'],False,"Rule: If a card has a vowel on one side, then it has an even number on the other.Items:1. ""K""2. ""4""3. ""7""4. ""A""",1; 2; 3; 4
llama2-uncensored:7b,"If a person is a mother, then they have at least one child.",Mother,Woman without children,Has child,No child,[],False,"Rule: If a person is a mother, then they have at least one child.Items:1. ""Woman without children""2. ""Has child""3. ""No child""4. ""Mother""",1; 2; 4
llama2-uncensored:7b,"If a switch is on, then the light is on.",Switch on,Switch off,Light on,Light off,[],False,"Rule: If a switch is on, then the light is on.Items:1. ""Switch off""2. ""Light on""3. ""Light off""4. ""Switch on""","""Switch off"", ""Light on"";"
llama2-uncensored:7b,"If a paper is wet, then it will tear easily.",Wet paper,Dry paper,Tears easily,Does not tear,[],False,"Rule: If a paper is wet, then it will tear easily.Items:1. ""Dry paper""2. ""Tears easily""3. ""Does not tear""4. ""Wet paper""","The items that must be examined to determine whether the rule is true or false are: 
1. Wet paper"
llama2-uncensored:7b,"If an object is transparent, then light passes through it.",Transparent,Opaque,Light passes,Light blocked,[],False,"Rule: If an object is transparent, then light passes through it.Items:1. ""Opaque""2. ""Light passes""3. ""Light blocked""4. ""Transparent""",1; 2;
llama2-uncensored:7b,"If a bird is a penguin, then it cannot fly.",Penguin,Sparrow,Cannot fly,Can fly,[],False,"Rule: If a bird is a penguin, then it cannot fly.Items:1. ""Sparrow""2. ""Cannot fly""3. ""Can fly""4. ""Penguin""","The items that must be examined to determine whether the rule is true or false are 1 and 3. Therefore, the output should be ""Sparrow; Penguin."""
llama2-uncensored:7b,"If water boils, then its temperature is 100C.",Water boiling,Water not boiling,100C,Below 100C,[],False,"Rule: If water boils, then its temperature is 100C.Items:1. ""Water not boiling""2. ""100C""3. ""Below 100C""4. ""Water boiling""","Items that must be examined to determine whether the rule is true or false are: ""100C""."
llama2-uncensored:7b,"If a metal is heated, then it expands.",Heated metal,Cold metal,Expands,Contracts,"['P', 'not P', 'Q', 'not Q']",True,"Rule: If a metal is heated, then it expands.Items:1. ""Cold metal""2. ""Expands""3. ""Contracts""4. ""Heated metal""",Cold metal; Expands; Contracts; Heated metal
llama2-uncensored:7b,"If an athlete trains daily, then performance improves.",Trains daily,Does not train,Performance improves,Performance declines,[],False,"Rule: If an athlete trains daily, then performance improves.Items:1. ""Does not train""2. ""Performance improves""3. ""Performance declines""4. ""Trains daily""",2;
