Intentional Bias,Model,Rule,P,not P,Q,not Q,Picked Items,Solved Correctly,User Prompt,Raw LLM Output
Anchoring,llama2-uncensored:7b,"If an animal is a dog, then it is a mammal.",Dog,Lizard,Mammal,Not mammal,[],False,"Rule: If an animal is a dog, then it is a mammal.Items:1. ""Dog""2. ""Not mammal""3. ""Lizard""4. ""Mammal""","""Dog""; ""Mammal""."
Anchoring,llama2-uncensored:7b,"If a card has a vowel on one side, then it has an even number on the other.",A,K,4,7,[],False,"Rule: If a card has a vowel on one side, then it has an even number on the other.Items:1. ""7""2. ""A""3. ""K""4. ""4""",2; 10; 5
Anchoring,llama2-uncensored:7b,"If a person is a mother, then they have at least one child.",Mother,Woman without children,Has child,No child,[],False,"Rule: If a person is a mother, then they have at least one child.Items:1. ""Has child""2. ""Woman without children""3. ""Mother""4. ""No child""",1; 2; 3;
Anchoring,llama2-uncensored:7b,"If a switch is on, then the light is on.",Switch on,Switch off,Light on,Light off,[],False,"Rule: If a switch is on, then the light is on.Items:1. ""Switch off""2. ""Light off""3. ""Switch on""4. ""Light on""","""Switch off"", ""Light off"", and ""Switch on"""
Anchoring,llama2-uncensored:7b,"If a paper is wet, then it will tear easily.",Wet paper,Dry paper,Tears easily,Does not tear,[],False,"Rule: If a paper is wet, then it will tear easily.Items:1. ""Does not tear""2. ""Tears easily""3. ""Dry paper""4. ""Wet paper""",2; 4
Anchoring,llama2-uncensored:7b,"If an object is transparent, then light passes through it.",Transparent,Opaque,Light passes,Light blocked,[],False,"Rule: If an object is transparent, then light passes through it.Items:1. ""Opaque""2. ""Transparent""3. ""Light blocked""4. ""Light passes""",1. Opaque; 2. Transparent; 3. Light blocked; 4. Light passes
Anchoring,llama2-uncensored:7b,"If a bird is a penguin, then it cannot fly.",Penguin,Sparrow,Cannot fly,Can fly,[],False,"Rule: If a bird is a penguin, then it cannot fly.Items:1. ""Sparrow""2. ""Can fly""3. ""Penguin""4. ""Cannot fly""",1; 2; 3
Anchoring,llama2-uncensored:7b,"If water boils, then its temperature is 100C.",Water boiling,Water not boiling,100C,Below 100C,[],False,"Rule: If water boils, then its temperature is 100C.Items:1. ""Water not boiling""2. ""Below 100C""3. ""Water boiling""4. ""100C""",The items to examine are #1 and #4 since they are the only ones that can be used to determine whether the rule is true or false.
Anchoring,llama2-uncensored:7b,"If a metal is heated, then it expands.",Heated metal,Cold metal,Expands,Contracts,[],False,"Rule: If a metal is heated, then it expands.Items:1. ""Contracts""2. ""Expands""3. ""Cold metal""4. ""Heated metal""","The rule is true for the items 1, 2, and 3 but not for item 4, which means that only the text of items 1, 2, and 3 should be returned without any additional quotations or punctuation."
Anchoring,llama2-uncensored:7b,"If an athlete trains daily, then performance improves.",Trains daily,Does not train,Performance improves,Performance declines,[],False,"Rule: If an athlete trains daily, then performance improves.Items:1. ""Performance declines""2. ""Does not train""3. ""Trains daily""4. ""Performance improves""",1; 3;
Anchoring,llama2-uncensored:7b,"If a student studies, then they will pass the test.",Studies,Does not study,Passes test,Fails test,[],False,"Rule: If a student studies, then they will pass the test.Items:1. ""Studies""2. ""Fails test""3. ""Does not study""4. ""Passes test""",Output: 1;2
Anchoring,llama2-uncensored:7b,"If you press the red button, then the alarm sounds.",Press red button,Press blue button,Alarm sounds,No alarm,[],False,"Rule: If you press the red button, then the alarm sounds.Items:1. ""No alarm""2. ""Alarm sounds""3. ""Press blue button""4. ""Press red button""",Items 2 and 3 must be examined to determine whether the rule is true or false.
Anchoring,llama2-uncensored:7b,"If a number is divisible by 2, then it is even.",Divisible by 2,Not divisible by 2,Even,Odd,[],False,"Rule: If a number is divisible by 2, then it is even.Items:1. ""Not divisible by 2""2. ""Divisible by 2""3. ""Even""4. ""Odd""",The selected items are 2 and 4.
Anchoring,llama2-uncensored:7b,"If an object floats, then it is less dense than water.",Floats,Sinks,Less dense,More dense,[],False,"Rule: If an object floats, then it is less dense than water.Items:1. ""Sinks""2. ""Floats""3. ""More dense""4. ""Less dense""","1. ""Sinks""; 2. ""Floats""; 3. ""More dense""; 4. ""Less dense""."
Anchoring,llama2-uncensored:7b,"If the door is locked, then you need a key to open it.",Door locked,Door open,Needs key,Does not need key,[],False,"Rule: If the door is locked, then you need a key to open it.Items:1. ""Door open""2. ""Does not need key""3. ""Door locked""4. ""Needs key""","""Door locked""; ""Needs key""."
Anchoring,llama2-uncensored:7b,"If a person is drinking alcohol, then they must be over 18 years old.",Drinking alcohol,Drinking soda,Over 18,Under 18,[],False,"Rule: If a person is drinking alcohol, then they must be over 18 years old.Items:1. ""Under 18""2. ""Drinking soda""3. ""Drinking alcohol""4. ""Over 18""","""Drinking alcohol"", ""Over 18""."
Anchoring,llama2-uncensored:7b,"If someone is a bachelor, then they are unmarried.",Bachelor,Married man,Unmarried,Married,['Q'],False,"Rule: If someone is a bachelor, then they are unmarried.Items:1. ""Bachelor""2. ""Unmarried""3. ""Married""4. ""Married man""","The items that must be examined to determine whether the rule is true or false are 1 and 2. Output: ""Bachelor; Unmarried;"""
