Intentional Bias,Model,Rule,P,not P,Q,not Q,Picked Items,Solved Correctly,User Prompt,Raw LLM Output
Control,gemma3:12b,"If an animal is a dog, then it is a mammal.",Dog,Lizard,Mammal,Not mammal,"['P', 'not Q']",True,"Rule: If an animal is a dog, then it is a mammal.Items:1. ""Dog""2. ""Not mammal""3. ""Lizard""4. ""Mammal""",Dog;Not mammal
Control,gemma3:12b,"If a card has a vowel on one side, then it has an even number on the other.",A,K,4,7,[],False,"Rule: If a card has a vowel on one side, then it has an even number on the other.Items:1. ""7""2. ""A""3. ""K""4. ""4""","""A""; ""7""; ""4"""
Control,gemma3:12b,"If a person is a mother, then they have at least one child.",Mother,Woman without children,Has child,No child,['P'],False,"Rule: If a person is a mother, then they have at least one child.Items:1. ""Has child""2. ""Woman without children""3. ""Mother""4. ""No child""",Mother;
Control,gemma3:12b,"If a switch is on, then the light is on.",Switch on,Switch off,Light on,Light off,[],False,"Rule: If a switch is on, then the light is on.Items:1. ""Switch off""2. ""Light off""3. ""Switch on""4. ""Light on""","""Switch off""; ""Light off""; ""Switch on""; ""Light on"""
Control,gemma3:12b,"If a paper is wet, then it will tear easily.",Wet paper,Dry paper,Tears easily,Does not tear,[],False,"Rule: If a paper is wet, then it will tear easily.Items:1. ""Does not tear""2. ""Tears easily""3. ""Dry paper""4. ""Wet paper""","""Wet paper""; ""Does not tear"""
Control,gemma3:12b,"If an object is transparent, then light passes through it.",Transparent,Opaque,Light passes,Light blocked,"['P', 'Q']",False,"Rule: If an object is transparent, then light passes through it.Items:1. ""Opaque""2. ""Transparent""3. ""Light blocked""4. ""Light passes""",Transparent;Light passes
Control,gemma3:12b,"If a bird is a penguin, then it cannot fly.",Penguin,Sparrow,Cannot fly,Can fly,"['P', 'Q']",False,"Rule: If a bird is a penguin, then it cannot fly.Items:1. ""Sparrow""2. ""Can fly""3. ""Penguin""4. ""Cannot fly""",Penguin;Cannot fly
Control,gemma3:12b,"If water boils, then its temperature is 100C.",Water boiling,Water not boiling,100C,Below 100C,"['P', 'not P']",False,"Rule: If water boils, then its temperature is 100C.Items:1. ""Water not boiling""2. ""Below 100C""3. ""Water boiling""4. ""100C""",Water not boiling;Water boiling
Control,gemma3:12b,"If a metal is heated, then it expands.",Heated metal,Cold metal,Expands,Contracts,[],False,"Rule: If a metal is heated, then it expands.Items:1. ""Contracts""2. ""Expands""3. ""Cold metal""4. ""Heated metal""","""Contracts""; ""Heated metal"""
Control,gemma3:12b,"If an athlete trains daily, then performance improves.",Trains daily,Does not train,Performance improves,Performance declines,[],False,"Rule: If an athlete trains daily, then performance improves.Items:1. ""Performance declines""2. ""Does not train""3. ""Trains daily""4. ""Performance improves""","""Does not train""; ""Performance declines"""
