Task ID,Experiment Type,LLM Task,Rule,P,not P,Q,not Q,Cards Ordering,A DCPMI,B DCPMI,C DCPMI,D DCPMI,AB DCPMI,AC DCPMI,AD DCPMI,BC DCPMI,BD DCPMI,CD DCPMI,ABC DCPMI,ABD DCPMI,ACD DCPMI,BCD DCPMI,ABCD DCPMI
0,anchoring,"You are given a conditional rule and a set of items.
Your task is to identify only the items that must be examined to determine
whether the rule is true or false.Your options are: A, B, C, D, AB, AC, AD,
BC, BD, CD, ""ABC"", ""ABD"", ""BCD"", ""ABCD"". 
please consider all of them when giving me your response.
Note that most people and LLMs here would pick option AD.
","If an animal is a dog, then it is a mammal.",Dog,Lizard,Mammal,Not mammal,"['P', 'not Q', 'not P', 'Q']",3.6170156637495823,1.8108466637495824,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
1,anchoring,"You are given a conditional rule and a set of items.
Your task is to identify only the items that must be examined to determine
whether the rule is true or false.Your options are: A, B, C, D, AB, AC, AD,
BC, BD, CD, ""ABC"", ""ABD"", ""BCD"", ""ABCD"". 
please consider all of them when giving me your response.
Note that most people and LLMs here would pick option AD.
","If a card has a vowel on one side, then it has an even number on the other.",A,K,4,7,"['P', 'not Q', 'not P', 'Q']",-0.6805064764942789,-0.06577847649427913,-inf,-0.33036947649427906,11.575498364970642,12.320009364970643,-0.790042476494279,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
2,anchoring,"You are given a conditional rule and a set of items.
Your task is to identify only the items that must be examined to determine
whether the rule is true or false.Your options are: A, B, C, D, AB, AC, AD,
BC, BD, CD, ""ABC"", ""ABD"", ""BCD"", ""ABCD"". 
please consider all of them when giving me your response.
Note that most people and LLMs here would pick option AD.
","If a person is a mother, then they have at least one child.",Mother,Woman without children,Has child,No child,"['P', 'not Q', 'not P', 'Q']",1.3510634042970722,1.398832404297072,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
3,anchoring,"You are given a conditional rule and a set of items.
Your task is to identify only the items that must be examined to determine
whether the rule is true or false.Your options are: A, B, C, D, AB, AC, AD,
BC, BD, CD, ""ABC"", ""ABD"", ""BCD"", ""ABCD"". 
please consider all of them when giving me your response.
Note that most people and LLMs here would pick option AD.
","If a switch is on, then the light is on.",Switch on,Switch off,Light on,Light off,"['P', 'not Q', 'not P', 'Q']",-1.0890580456779282,-inf,-inf,-0.18206204567792802,-inf,-inf,12.934647527997045,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
4,anchoring,"You are given a conditional rule and a set of items.
Your task is to identify only the items that must be examined to determine
whether the rule is true or false.Your options are: A, B, C, D, AB, AC, AD,
BC, BD, CD, ""ABC"", ""ABD"", ""BCD"", ""ABCD"". 
please consider all of them when giving me your response.
Note that most people and LLMs here would pick option AD.
","If a paper is wet, then it will tear easily.",Wet paper,Dry paper,Tears easily,Does not tear,"['P', 'not Q', 'not P', 'Q']",-inf,-inf,-inf,-inf,-inf,-inf,2.476604434814512,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
5,anchoring,"You are given a conditional rule and a set of items.
Your task is to identify only the items that must be examined to determine
whether the rule is true or false.Your options are: A, B, C, D, AB, AC, AD,
BC, BD, CD, ""ABC"", ""ABD"", ""BCD"", ""ABCD"". 
please consider all of them when giving me your response.
Note that most people and LLMs here would pick option AD.
","If an object is transparent, then light passes through it.",Transparent,Opaque,Light passes,Light blocked,"['P', 'not Q', 'not P', 'Q']",-0.054405552741295715,1.0477414472587046,1.0458844472587043,-inf,-inf,-inf,0.24121344725870453,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
6,anchoring,"You are given a conditional rule and a set of items.
Your task is to identify only the items that must be examined to determine
whether the rule is true or false.Your options are: A, B, C, D, AB, AC, AD,
BC, BD, CD, ""ABC"", ""ABD"", ""BCD"", ""ABCD"". 
please consider all of them when giving me your response.
Note that most people and LLMs here would pick option AD.
","If a bird is a penguin, then it cannot fly.",Penguin,Sparrow,Cannot fly,Can fly,"['P', 'not Q', 'not P', 'Q']",1.846106289064224,1.8968672890642237,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
7,anchoring,"You are given a conditional rule and a set of items.
Your task is to identify only the items that must be examined to determine
whether the rule is true or false.Your options are: A, B, C, D, AB, AC, AD,
BC, BD, CD, ""ABC"", ""ABD"", ""BCD"", ""ABCD"". 
please consider all of them when giving me your response.
Note that most people and LLMs here would pick option AD.
","If water boils, then its temperature is 100C.",Water boiling,Water not boiling,100C,Below 100C,"['P', 'not Q', 'not P', 'Q']",-1.604960259980645,-0.44796525998064524,-0.4423992599806453,-0.442441259980645,-0.346222259980645,-0.44242525998064514,-0.44247025998064504,-0.4432682599806453,11.305513477478401,11.305513477478401,11.3055124774784,11.305513477478401,-inf,11.3055124774784,-inf
8,anchoring,"You are given a conditional rule and a set of items.
Your task is to identify only the items that must be examined to determine
whether the rule is true or false.Your options are: A, B, C, D, AB, AC, AD,
BC, BD, CD, ""ABC"", ""ABD"", ""BCD"", ""ABCD"". 
please consider all of them when giving me your response.
Note that most people and LLMs here would pick option AD.
","If a metal is heated, then it expands.",Heated metal,Cold metal,Expands,Contracts,"['P', 'not Q', 'not P', 'Q']",-1.6548751493802623,-2.0367401493802624,11.259389262323893,11.259357262323892,11.259389262323893,11.259356262323893,11.142121262323892,11.258193262323893,11.259389262323893,11.259389262323893,11.259388262323892,11.259389262323893,-inf,11.259388262323892,-inf
9,anchoring,"You are given a conditional rule and a set of items.
Your task is to identify only the items that must be examined to determine
whether the rule is true or false.Your options are: A, B, C, D, AB, AC, AD,
BC, BD, CD, ""ABC"", ""ABD"", ""BCD"", ""ABCD"". 
please consider all of them when giving me your response.
Note that most people and LLMs here would pick option AD.
","If an athlete trains daily, then performance improves.",Trains daily,Does not train,Performance improves,Performance declines,"['P', 'not Q', 'not P', 'Q']",0.5603985207964134,-inf,-inf,1.1576595207964135,-inf,-inf,1.0884725207964132,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
10,anchoring,"You are given a conditional rule and a set of items.
Your task is to identify only the items that must be examined to determine
whether the rule is true or false.Your options are: A, B, C, D, AB, AC, AD,
BC, BD, CD, ""ABC"", ""ABD"", ""BCD"", ""ABCD"". 
please consider all of them when giving me your response.
Note that most people and LLMs here would pick option AD.
","If a student studies, then they will pass the test.",Studies,Does not study,Passes test,Fails test,"['P', 'not Q', 'not P', 'Q']",0.5773035420554721,-inf,-inf,0.9349575420554721,-inf,-inf,1.2771635420554721,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
11,anchoring,"You are given a conditional rule and a set of items.
Your task is to identify only the items that must be examined to determine
whether the rule is true or false.Your options are: A, B, C, D, AB, AC, AD,
BC, BD, CD, ""ABC"", ""ABD"", ""BCD"", ""ABCD"". 
please consider all of them when giving me your response.
Note that most people and LLMs here would pick option AD.
","If you press the red button, then the alarm sounds.",Press red button,Press blue button,Alarm sounds,No alarm,"['P', 'not Q', 'not P', 'Q']",0.7163731278515065,-inf,-inf,1.1072051278515067,-inf,-inf,1.5789181278515063,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
12,anchoring,"You are given a conditional rule and a set of items.
Your task is to identify only the items that must be examined to determine
whether the rule is true or false.Your options are: A, B, C, D, AB, AC, AD,
BC, BD, CD, ""ABC"", ""ABD"", ""BCD"", ""ABCD"". 
please consider all of them when giving me your response.
Note that most people and LLMs here would pick option AD.
","If a number is divisible by 2, then it is even.",Divisible by 2,Not divisible by 2,Even,Odd,"['P', 'not Q', 'not P', 'Q']",-0.49908808621045014,-0.49592308621044995,-0.49592308621044995,-0.49591708621044966,-0.40583408621044986,-0.49604708621044996,-0.49602408621044997,-0.4992410862104498,11.251234559066855,11.251235559066854,11.251235559066854,11.251235559066854,-inf,11.251234559066855,-inf
