Task ID,Rule,P,not P,Q,not Q
0,"If an animal is a dog, then it is a mammal.",Dog,Lizard,Mammal,Not mammal
1,"If a card has a vowel on one side, then it has an even number on the other.",A,K,4,7
2,"If a person is a mother, then they have at least one child.",Mother,Woman without children,Has child,No child
3,"If a switch is on, then the light is on.",Switch on,Switch off,Light on,Light off
4,"If a paper is wet, then it will tear easily.",Wet paper,Dry paper,Tears easily,Does not tear
5,"If an object is transparent, then light passes through it.",Transparent,Opaque,Light passes,Light blocked
6,"If a bird is a penguin, then it cannot fly.",Penguin,Sparrow,Cannot fly,Can fly
7,"If water boils, then its temperature is 100C.",Water boiling,Water not boiling,100C,Below 100C
8,"If a metal is heated, then it expands.",Heated metal,Cold metal,Expands,Contracts
9,"If an athlete trains daily, then performance improves.",Trains daily,Does not train,Performance improves,Performance declines
10,"If a student studies, then they will pass the test.",Studies,Does not study,Passes test,Fails test
11,"If you press the red button, then the alarm sounds.",Press red button,Press blue button,Alarm sounds,No alarm
12,"If a number is divisible by 2, then it is even.",Divisible by 2,Not divisible by 2,Even,Odd
13,"If an object floats, then it is less dense than water.",Floats,Sinks,Less dense,More dense
14,"If the door is locked, then you need a key to open it.",Door locked,Door open,Needs key,Does not need key
15,"If a person is drinking alcohol, then they must be over 18 years old.",Drinking alcohol,Drinking soda,Over 18,Under 18
16,"If someone is a bachelor, then they are unmarried.",Bachelor,Married man,Unmarried,Married
17,"If the plant gets sunlight, then it will grow.",Gets sunlight,No sunlight,Grows,Does not grow
18,"If the car has fuel, then it can run.",Has fuel,No fuel,Can run,Cannot run
19,"If a shape is a square, then it has four sides.",Square,Triangle,Four sides,Three sides
20,"If it is raining, then the ground is wet.",Raining,Sunny,Ground wet,Ground dry
21,"If the temperature drops below zero, then water freezes.",Below zero,Above zero,Freezes,Does not freeze
22,"If someone is a teacher, then they work at a school.",Teacher,Doctor,Works at school,Does not work at school
23,"If the machine is working, then the light is green.",Machine working,Machine off,Light green,Light red
24,"If a computer is connected to Wi-Fi, then it can access the internet.",Connected to Wi-Fi,Not connected,Access internet,No internet
