Model,Rule,P,not P,Q,not Q,Picked Items,Solved Correctly,User Prompt,Raw LLM Output
gpt-oss:20b,"If an animal is a dog, then it is a mammal.",Dog,Lizard,Mammal,Not mammal,"['P', 'Q', 'not Q']",True,"Rule: If an animal is a dog, then it is a mammal.Items:1. ""Lizard""2. ""Mammal""3. ""Not mammal""4. ""Dog""",Dog;Mammal;Not mammal
gpt-oss:20b,"If a card has a vowel on one side, then it has an even number on the other.",A,K,4,7,"['P', 'not Q']",True,"Rule: If a card has a vowel on one side, then it has an even number on the other.Items:1. ""K""2. ""4""3. ""7""4. ""A""",A;7
gpt-oss:20b,"If a person is a mother, then they have at least one child.",Mother,Woman without children,Has child,No child,"['P', 'not P']",False,"Rule: If a person is a mother, then they have at least one child.Items:1. ""Woman without children""2. ""Has child""3. ""No child""4. ""Mother""",Woman without children; Mother
gpt-oss:20b,"If a switch is on, then the light is on.",Switch on,Switch off,Light on,Light off,"['P', 'not Q']",True,"Rule: If a switch is on, then the light is on.Items:1. ""Switch off""2. ""Light on""3. ""Light off""4. ""Switch on""",Switch on; Light off
gpt-oss:20b,"If a paper is wet, then it will tear easily.",Wet paper,Dry paper,Tears easily,Does not tear,"['P', 'Q', 'not Q']",True,"Rule: If a paper is wet, then it will tear easily.Items:1. ""Dry paper""2. ""Tears easily""3. ""Does not tear""4. ""Wet paper""",Wet paper; Tears easily; Does not tear
gpt-oss:20b,"If an object is transparent, then light passes through it.",Transparent,Opaque,Light passes,Light blocked,"['P', 'Q']",False,"Rule: If an object is transparent, then light passes through it.Items:1. ""Opaque""2. ""Light passes""3. ""Light blocked""4. ""Transparent""",Transparent; Light passes
gpt-oss:20b,"If a bird is a penguin, then it cannot fly.",Penguin,Sparrow,Cannot fly,Can fly,"['P', 'Q']",False,"Rule: If a bird is a penguin, then it cannot fly.Items:1. ""Sparrow""2. ""Cannot fly""3. ""Can fly""4. ""Penguin""",Penguin; Cannot fly
gpt-oss:20b,"If water boils, then its temperature is 100C.",Water boiling,Water not boiling,100C,Below 100C,"['P', 'Q']",False,"Rule: If water boils, then its temperature is 100C.Items:1. ""Water not boiling""2. ""100C""3. ""Below 100C""4. ""Water boiling""",Water boiling;100C
gpt-oss:20b,"If a metal is heated, then it expands.",Heated metal,Cold metal,Expands,Contracts,"['P', 'Q']",False,"Rule: If a metal is heated, then it expands.Items:1. ""Cold metal""2. ""Expands""3. ""Contracts""4. ""Heated metal""",Expands; Heated metal
gpt-oss:20b,"If an athlete trains daily, then performance improves.",Trains daily,Does not train,Performance improves,Performance declines,"['P', 'not P', 'Q', 'not Q']",True,"Rule: If an athlete trains daily, then performance improves.Items:1. ""Does not train""2. ""Performance improves""3. ""Performance declines""4. ""Trains daily""",Does not train;Performance improves;Performance declines;Trains daily
gpt-oss:20b,"If a student studies, then they will pass the test.",Studies,Does not study,Passes test,Fails test,[],False,"Rule: If a student studies, then they will pass the test.Items:1. ""Does not study""2. ""Passes test""3. ""Fails test""4. ""Studies""","""Does not study""; ""Passes test""; ""Fails test""; ""Studies"""
gpt-oss:20b,"If you press the red button, then the alarm sounds.",Press red button,Press blue button,Alarm sounds,No alarm,"['P', 'Q']",False,"Rule: If you press the red button, then the alarm sounds.Items:1. ""Press blue button""2. ""Alarm sounds""3. ""No alarm""4. ""Press red button""",Alarm sounds; Press red button
